"Geography_Code","NM_1549_1_0","NM_1549_1_1","NM_1549_1_10","NM_1549_1_11","NM_1549_1_2","NM_1549_1_3","NM_1549_1_4","NM_1549_1_5","NM_1549_1_6","NM_1549_1_7","NM_1549_1_8","NM_1549_1_9"
"N00000459",247,247,0,0,225,92,118,15,22,21,1,0
"N00000460",138,138,0,0,116,47,46,23,22,16,3,3
"N00000461",157,157,0,0,157,92,53,12,0,0,0,0
"N00000462",101,101,0,0,100,12,44,44,1,0,1,0
"N00000463",343,343,0,0,295,78,86,131,48,36,5,7
"N00000464",156,156,0,0,156,86,42,28,0,0,0,0
"N00000465",129,129,0,0,121,16,58,47,8,8,0,0
"N00000466",138,138,0,0,138,129,4,5,0,0,0,0
"N00000467",131,131,0,0,128,60,37,31,3,3,0,0
"N00000468",116,116,0,0,113,90,12,11,3,3,0,0
"N00000469",154,154,0,0,147,64,65,18,7,6,1,0
"N00000470",122,122,0,0,104,8,54,42,18,17,1,0
"N00000471",126,126,0,0,124,13,33,78,2,1,0,1
"N00000472",133,133,0,0,53,7,20,26,80,78,2,0
"N00000473",108,108,0,0,106,13,38,55,2,2,0,0
"N00000474",118,118,0,0,113,47,39,27,5,1,4,0
"N00000475",116,116,0,0,93,11,21,61,23,23,0,0
"N00000476",119,119,0,0,112,9,61,42,7,6,1,0
"N00000477",283,283,0,0,281,202,76,3,2,2,0,0
"N00000478",129,129,0,0,112,12,34,66,17,15,2,0
"N00000479",117,117,0,0,114,107,7,0,3,3,0,0
"N00000480",132,132,0,0,132,108,20,4,0,0,0,0
"N00000481",175,175,0,0,156,92,59,5,19,18,1,0
"N00000482",121,121,0,0,94,20,38,36,27,27,0,0
"N00000483",115,115,0,0,115,64,48,3,0,0,0,0
"N00000484",139,139,0,0,135,16,18,101,4,4,0,0
"N00000485",108,108,0,0,92,32,41,19,16,16,0,0
"N00000486",116,116,0,0,116,66,48,2,0,0,0,0
"N00000487",113,113,0,0,113,69,43,1,0,0,0,0
"N00000488",134,134,0,0,134,56,76,2,0,0,0,0
"N00000489",107,107,0,0,107,55,51,1,0,0,0,0
"N00000490",194,194,0,0,194,89,70,35,0,0,0,0
"N00000491",166,166,0,0,166,74,69,23,0,0,0,0
"N00000492",177,177,2,0,153,80,28,45,22,22,0,0
"N00000493",140,140,0,0,136,102,32,2,4,2,2,0
"N00000494",347,347,0,0,322,176,91,55,25,24,1,0
"N00000495",136,136,0,0,134,74,58,2,2,2,0,0
"N00000496",310,310,0,0,289,134,137,18,21,21,0,0
"N00000497",328,328,0,0,325,133,139,53,3,2,1,0
"N00000498",128,128,0,0,126,91,32,3,2,0,2,0
"N00000499",129,129,0,0,129,12,11,106,0,0,0,0
"N00000500",249,249,0,0,188,18,69,101,61,60,1,0
"N00000501",151,151,0,0,111,14,33,64,40,39,1,0
"N00000502",89,89,0,0,68,13,27,28,21,21,0,0
"N00000503",133,133,0,0,131,20,33,78,2,2,0,0
"N00000504",108,108,0,0,77,13,19,45,31,31,0,0
"N00000505",94,94,0,0,89,5,18,66,5,5,0,0
"N00000506",113,113,0,0,111,6,88,17,2,2,0,0
"N00000507",114,114,0,0,108,20,17,71,6,6,0,0
"N00000508",129,129,0,0,129,35,50,44,0,0,0,0
"N00000509",127,127,0,0,121,19,18,84,6,6,0,0
"N00000510",108,108,0,0,101,19,8,74,7,7,0,0
"N00000511",157,157,0,0,149,121,20,8,8,8,0,0
"N00000512",174,174,0,0,174,164,8,2,0,0,0,0
"N00000513",131,131,0,0,131,85,43,3,0,0,0,0
"N00000514",141,141,0,0,138,102,35,1,3,2,1,0
"N00000515",124,124,0,0,124,91,32,1,0,0,0,0
"N00000516",92,92,0,0,91,86,3,2,1,1,0,0
"N00000517",125,125,0,0,125,117,8,0,0,0,0,0
"N00000518",119,119,0,0,117,81,17,19,2,2,0,0
"N00000519",118,118,0,0,118,64,15,39,0,0,0,0
"N00000520",269,269,0,0,246,90,49,107,23,23,0,0
"N00000521",183,183,0,0,159,60,44,55,24,23,0,1
"N00000522",181,181,0,0,168,64,54,50,13,13,0,0
"N00000523",154,154,0,0,154,61,79,14,0,0,0,0
"N00000524",177,177,0,0,177,143,28,6,0,0,0,0
"N00000525",211,211,0,0,137,50,58,29,74,66,4,4
"N00000526",117,117,0,0,99,9,19,71,18,14,3,1
"N00000527",133,133,0,0,100,6,7,87,33,23,10,0
"N00000528",111,111,0,0,72,7,8,57,39,30,5,4
"N00000529",135,135,0,0,77,4,34,39,58,54,2,2
"N00000530",130,130,0,0,126,13,91,22,4,4,0,0
"N00000531",151,151,0,0,91,6,22,63,60,55,4,1
"N00000532",105,105,0,0,74,10,16,48,31,22,8,1
"N00000533",159,159,0,0,49,7,14,28,110,105,4,1
"N00000534",169,169,1,0,168,156,8,4,0,0,0,0
"N00000535",183,183,1,0,181,160,21,0,1,1,0,0
"N00000536",148,148,1,0,147,109,19,19,0,0,0,0
"N00000537",142,142,1,0,140,125,15,0,1,0,0,1
"N00000538",148,148,0,0,148,139,7,2,0,0,0,0
"N00000539",139,139,0,0,139,99,22,18,0,0,0,0
"N00000540",123,123,1,0,121,79,35,7,1,1,0,0
"N00000541",158,158,0,0,158,109,30,19,0,0,0,0
"N00000542",130,130,1,0,97,54,16,27,32,32,0,0
"N00000543",138,138,0,0,137,64,54,19,1,1,0,0
"N00000544",128,128,0,0,127,20,41,66,1,0,1,0
"N00000545",126,126,0,0,124,35,37,52,2,2,0,0
"N00000546",120,120,0,0,120,12,36,72,0,0,0,0
"N00000547",143,143,0,0,130,23,24,83,13,13,0,0
"N00000548",114,114,0,0,104,29,33,42,10,6,2,2
"N00000549",115,115,0,0,84,11,8,65,31,30,1,0
"N00000550",180,180,0,0,136,69,59,8,44,42,2,0
"N00000551",100,100,0,0,93,9,13,71,7,6,1,0
"N00000552",101,101,0,0,95,43,12,40,6,4,2,0
"N00000553",131,131,0,0,123,8,14,101,8,5,2,1
"N00000554",103,103,0,0,94,7,3,84,9,9,0,0
"N00000555",110,110,0,0,96,12,15,69,14,14,0,0
"N00000556",115,115,0,0,115,14,13,88,0,0,0,0
"N00000557",167,167,1,0,165,147,15,3,1,0,0,1
"N00000558",148,148,1,0,147,130,14,3,0,0,0,0
"N00000559",124,124,0,0,124,77,46,1,0,0,0,0
"N00000560",146,146,1,0,143,123,17,3,2,1,1,0
"N00000561",162,162,0,0,160,143,15,2,2,1,0,1
"N00000562",143,143,1,0,142,74,48,20,0,0,0,0
"N00000563",356,356,0,0,341,46,170,125,15,15,0,0
"N00000564",138,138,0,0,110,7,54,49,28,22,2,4
"N00000565",124,124,0,0,72,13,22,37,52,52,0,0
"N00000566",123,123,0,0,108,20,83,5,15,13,2,0
"N00000567",200,200,0,0,199,121,67,11,1,1,0,0
"N00000568",130,130,0,0,130,16,111,3,0,0,0,0
"N00000569",167,167,0,0,149,21,69,59,18,17,0,1
"N00000570",129,129,0,0,127,75,46,6,2,2,0,0
"N00000571",120,120,1,0,119,93,20,6,0,0,0,0
"N00000572",200,200,0,0,199,137,21,41,1,1,0,0
"N00000573",138,138,0,0,127,120,1,6,11,10,1,0
"N00000574",149,149,0,0,148,126,19,3,1,0,1,0
"N00000575",160,160,3,0,149,139,5,5,8,6,1,1
"N00000576",131,131,0,0,130,50,53,27,1,0,1,0
"N00000577",154,154,0,0,154,112,17,25,0,0,0,0
"N00000578",243,243,0,0,243,164,42,37,0,0,0,0
"N00000579",149,149,0,0,149,111,30,8,0,0,0,0
"N00000580",177,177,0,0,175,92,56,27,2,0,1,1
"N00000581",160,160,0,0,159,144,10,5,1,0,1,0
"N00000582",142,142,3,0,139,128,7,4,0,0,0,0
"N00000583",118,118,1,0,117,86,30,1,0,0,0,0
"N00000584",157,157,0,0,154,126,22,6,3,2,1,0
"N00000585",155,155,1,0,154,139,9,6,0,0,0,0
"N00000586",154,154,1,0,153,138,11,4,0,0,0,0
"N00000587",154,154,0,0,153,139,9,5,1,1,0,0
