"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000356",414,368,23,9,14
"N00000357",1212,1110,48,21,33
"N00000358",371,337,13,4,17
"N00000359",820,754,37,8,21
"N00000360",423,395,12,1,15
"N00000361",413,380,22,7,4
"N00000362",390,335,42,3,10
"N00000363",484,433,35,8,8
"N00000364",475,401,45,11,18
"N00000365",255,239,7,5,4
"N00000366",536,486,27,11,12
"N00000367",351,318,15,6,12
"N00000368",544,485,31,5,23
"N00000369",411,363,27,11,10
"N00000370",485,408,52,14,11
"N00000371",447,391,33,11,12
"N00000372",380,344,23,3,10
"N00000373",437,383,37,11,6
"N00000374",348,304,33,3,8
"N00000375",303,257,31,6,9
"N00000376",261,224,20,8,9
"N00000377",268,229,21,11,7
"N00000378",289,256,11,8,14
"N00000379",490,427,47,11,5
"N00000380",532,480,38,6,8
"N00000381",979,883,48,18,30
"N00000382",557,495,32,14,16
"N00000383",472,415,33,11,13
"N00000384",490,434,32,13,11
"N00000385",445,395,24,8,18
"N00000386",291,263,15,6,7
"N00000387",227,193,18,5,11
"N00000388",1602,1441,86,27,48
"N00000389",445,388,26,8,23
"N00000390",972,868,66,19,19
"N00000391",524,445,58,10,11
"N00000392",1399,1260,103,22,14
"N00000393",459,388,44,10,17
"N00000394",406,353,30,12,11
"N00000395",508,444,38,12,14
"N00000396",376,322,33,7,14
"N00000397",520,455,44,8,13
"N00000398",463,395,45,7,16
"N00000399",304,275,17,6,6
"N00000400",240,226,4,4,6
"N00000401",286,254,18,5,9
"N00000402",248,235,6,3,4
"N00000403",522,473,26,10,13
"N00000404",276,251,6,6,13
"N00000405",223,204,13,3,3
"N00000406",397,352,31,5,9
"N00000407",1125,1031,56,20,18
"N00000408",468,404,43,13,8
"N00000409",403,370,21,6,6
"N00000410",392,349,26,5,12
"N00000411",355,319,25,4,7
"N00000412",438,395,23,8,12
"N00000413",442,399,24,7,12
"N00000414",380,349,21,4,6
"N00000415",439,407,22,1,9
"N00000416",420,362,33,7,18
"N00000417",533,480,36,4,13
"N00000418",857,761,67,13,16
"N00000419",354,303,32,9,10
"N00000420",339,292,37,4,6
"N00000421",530,455,52,14,9
"N00000422",422,376,16,13,17
"N00000423",461,410,32,4,15
"N00000424",561,515,25,6,15
"N00000425",363,315,20,7,21
"N00000426",307,267,28,4,8
"N00000427",339,295,27,5,12
