"Geography_Code","NM_1546_1_0","NM_1546_1_1","NM_1546_1_2","NM_1546_1_3","NM_1546_1_4","NM_1546_1_5"
"N00000595",525,289,144,62,22,8
"N00000596",293,126,95,63,6,3
"N00000597",235,85,66,62,16,6
"N00000598",287,105,103,60,17,2
"N00000599",223,75,74,41,25,8
"N00000600",350,126,109,83,22,10
"N00000601",283,127,95,50,9,2
"N00000602",214,82,70,50,10,2
"N00000603",414,171,122,90,26,5
"N00000604",340,155,125,46,12,2
"N00000605",488,243,156,58,23,8
"N00000606",352,177,130,34,10,1
"N00000607",310,119,100,65,21,5
"N00000608",365,153,142,52,17,1
"N00000609",375,173,136,53,9,4
"N00000610",419,227,127,46,17,2
"N00000611",301,133,112,45,10,1
"N00000612",543,208,177,122,28,8
"N00000613",236,87,95,41,11,2
"N00000614",217,70,63,60,19,5
"N00000615",139,42,52,31,13,1
"N00000616",301,106,118,66,7,4
"N00000617",310,127,101,57,23,2
"N00000618",621,259,263,75,19,5
"N00000619",371,192,124,44,9,2
"N00000620",372,156,144,59,11,2
"N00000621",390,176,154,49,8,3
"N00000622",385,174,143,55,13,0
"N00000623",332,135,129,53,13,2
"N00000624",469,249,146,59,10,5
"N00000625",262,121,85,37,16,3
"N00000626",492,267,140,63,17,5
"N00000627",456,208,158,64,20,6
"N00000628",415,190,146,67,6,6
"N00000629",438,204,138,68,24,4
"N00000630",272,103,107,48,10,4
"N00000631",406,211,126,59,9,1
"N00000632",474,261,134,63,14,2
"N00000633",325,160,115,38,10,2
"N00000634",495,257,166,58,11,3
"N00000635",410,190,147,56,13,4
"N00000636",399,187,150,53,7,2
"N00000637",832,403,266,128,31,4
"N00000638",398,193,155,42,8,0
"N00000639",408,211,113,66,16,2
"N00000640",343,166,117,47,10,3
"N00000641",341,154,126,51,9,1
"N00000642",389,210,138,34,5,2
"N00000643",477,254,142,71,8,2
"N00000644",548,277,188,61,19,3
"N00000645",451,216,153,59,21,2
"N00000646",419,228,116,60,8,7
"N00000647",723,302,237,133,47,4
"N00000648",381,172,135,51,18,5
"N00000649",389,188,141,49,9,2
