"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000232",136,0,1,7,29,58,20,12,4,5
"N00000233",128,1,3,20,32,43,21,4,4,0
"N00000234",124,1,7,20,41,30,16,2,2,5
"N00000235",128,0,0,0,9,26,27,14,25,27
"N00000236",108,0,1,2,15,50,16,7,10,7
"N00000237",147,0,0,0,4,12,33,43,26,29
"N00000238",121,0,0,0,0,9,10,25,28,49
"N00000239",118,0,2,7,60,42,4,1,1,1
"N00000240",132,0,1,6,48,60,11,3,3,0
"N00000241",138,0,1,0,7,2,15,18,33,62
"N00000242",120,0,1,2,2,11,30,26,31,17
"N00000243",110,1,0,1,8,61,29,5,4,1
"N00000244",118,0,4,9,22,62,11,6,3,1
"N00000245",126,0,0,3,15,57,36,8,4,3
"N00000246",127,1,1,10,14,69,25,5,2,0
"N00000247",122,1,0,2,4,31,25,17,22,20
"N00000248",124,0,0,2,4,39,39,21,9,10
"N00000249",131,0,0,3,8,59,35,14,9,3
"N00000250",166,0,1,14,16,67,40,17,6,5
"N00000251",155,0,0,12,12,54,24,23,17,13
"N00000252",132,1,2,2,8,18,23,22,17,39
"N00000253",175,0,2,1,8,27,35,41,19,42
"N00000254",117,0,0,0,6,17,22,17,28,27
"N00000255",127,0,0,2,6,11,23,24,20,41
"N00000256",308,0,7,5,20,41,56,45,55,79
"N00000257",173,0,4,3,35,61,29,19,14,8
"N00000258",140,0,1,2,3,14,26,23,23,48
"N00000259",161,0,0,1,11,30,35,29,21,34
"N00000260",210,0,2,5,26,89,42,21,17,8
"N00000261",179,0,0,3,9,26,37,29,29,46
"N00000262",156,0,0,2,17,35,32,25,13,32
"N00000263",110,1,1,4,25,53,15,5,3,3
"N00000264",196,0,2,5,18,64,30,28,21,28
"N00000265",149,0,2,12,15,67,34,10,2,7
"N00000266",126,0,2,3,18,52,15,17,6,13
"N00000267",152,0,0,2,19,18,18,9,22,64
"N00000268",142,0,0,3,9,28,33,16,24,29
"N00000269",135,1,0,1,9,20,19,18,21,46
"N00000270",133,0,0,3,5,26,25,27,20,27
"N00000271",142,0,0,1,5,19,27,24,26,40
"N00000272",133,0,2,1,18,47,35,11,9,10
"N00000273",163,0,1,2,6,17,12,19,25,81
"N00000274",176,0,2,2,14,28,33,25,30,42
"N00000275",126,1,2,2,18,67,24,5,6,1
"N00000276",126,0,0,4,5,77,25,11,3,1
"N00000277",117,0,0,2,6,48,41,11,5,4
"N00000278",121,0,0,5,30,45,27,9,2,3
"N00000279",83,0,1,31,21,24,4,1,1,0
"N00000280",154,0,1,10,40,76,15,10,1,1
"N00000281",117,0,0,2,9,12,16,23,19,36
"N00000282",132,0,0,1,2,46,15,18,18,32
"N00000283",142,0,0,4,3,48,46,23,12,6
"N00000284",157,0,2,4,19,79,29,14,4,6
"N00000285",124,0,0,6,12,89,9,3,1,4
"N00000286",126,1,2,18,17,39,19,14,7,9
"N00000287",137,1,1,24,19,66,17,4,1,4
"N00000288",138,0,1,3,17,40,41,20,9,7
"N00000289",197,0,1,7,21,77,57,18,11,5
"N00000290",128,0,0,14,25,56,27,5,0,1
"N00000291",204,0,2,3,22,65,52,28,19,13
"N00000292",262,0,0,5,13,39,54,56,54,41
"N00000293",162,0,0,0,1,21,27,29,52,32
"N00000294",140,0,1,1,10,19,15,30,19,45
"N00000295",144,0,0,1,6,32,35,23,21,26
"N00000296",114,0,1,0,3,29,48,25,6,2
"N00000297",128,0,1,4,9,28,47,18,13,8
