"Geography_Code","NM_1553_1_0","NM_1553_1_1","NM_1553_1_2","NM_1553_1_3","NM_1553_1_4","NM_1553_1_5","NM_1553_1_6","NM_1553_1_7","NM_1553_1_8"
"N00000207",119,38,44,22,14,1,0,0,0
"N00000208",121,19,48,21,28,4,1,0,0
"N00000209",122,16,36,25,34,9,2,0,0
"N00000210",219,120,67,17,10,4,0,0,1
"N00000211",269,118,90,30,24,6,1,0,0
"N00000212",85,46,20,5,8,5,0,0,1
"N00000213",150,69,48,19,11,3,0,0,0
"N00000214",151,48,61,23,11,8,0,0,0
"N00000215",151,27,56,31,23,8,6,0,0
"N00000216",161,30,69,29,26,4,3,0,0
"N00000217",175,28,78,27,23,14,5,0,0
"N00000218",148,29,67,23,22,5,0,0,2
"N00000219",123,52,44,14,7,4,1,0,1
"N00000220",125,50,29,20,17,6,3,0,0
"N00000221",115,35,39,22,13,5,1,0,0
"N00000222",130,37,49,24,13,4,2,1,0
"N00000223",128,32,42,22,25,5,2,0,0
"N00000224",118,46,43,13,10,5,0,1,0
"N00000225",90,50,29,7,3,0,1,0,0
"N00000226",111,28,47,14,14,7,1,0,0
"N00000227",121,72,32,12,3,1,1,0,0
"N00000228",127,27,52,22,22,3,1,0,0
"N00000229",150,48,49,27,14,12,0,0,0
"N00000230",116,25,44,23,13,8,2,1,0
"N00000231",122,33,37,18,15,12,6,1,0
"N00000232",136,44,46,26,10,7,1,2,0
"N00000233",128,53,40,21,11,1,1,1,0
"N00000234",124,45,52,13,7,3,3,1,0
"N00000235",128,24,56,22,15,8,1,1,1
"N00000236",108,28,26,23,16,12,3,0,0
"N00000237",147,22,47,32,29,14,3,0,0
"N00000238",121,17,52,31,16,3,1,1,0
"N00000239",118,36,47,18,15,2,0,0,0
"N00000240",132,29,40,29,17,12,5,0,0
"N00000241",138,15,39,24,44,13,3,0,0
"N00000242",120,8,47,19,30,15,1,0,0
"N00000243",110,25,42,23,14,5,1,0,0
"N00000244",118,34,48,12,13,9,2,0,0
"N00000245",126,23,50,27,20,6,0,0,0
"N00000246",127,41,37,27,12,3,5,2,0
"N00000247",122,19,54,24,17,6,2,0,0
"N00000248",124,17,52,27,14,9,3,1,1
"N00000249",131,16,42,24,34,13,1,1,0
"N00000250",166,35,65,37,22,5,2,0,0
"N00000251",155,25,40,32,38,17,3,0,0
"N00000252",132,32,44,21,18,12,5,0,0
"N00000253",175,30,56,32,32,17,8,0,0
"N00000254",117,21,42,23,18,9,4,0,0
"N00000255",127,14,56,18,27,9,3,0,0
"N00000256",308,73,113,38,59,19,6,0,0
"N00000257",173,61,36,33,30,11,2,0,0
"N00000258",140,28,45,27,30,7,1,0,2
"N00000259",161,25,55,30,27,15,6,3,0
"N00000260",210,50,69,33,34,15,6,1,2
"N00000261",179,23,62,19,40,22,7,5,1
"N00000262",156,36,51,24,22,17,6,0,0
"N00000263",110,39,40,13,12,4,1,1,0
"N00000264",196,42,46,42,34,22,10,0,0
"N00000265",149,54,40,26,13,10,5,1,0
"N00000266",126,32,40,18,22,10,4,0,0
"N00000267",152,19,57,26,30,20,0,0,0
"N00000268",142,26,52,22,25,14,3,0,0
"N00000269",135,31,43,30,18,10,3,0,0
"N00000270",133,22,45,27,24,9,5,1,0
"N00000271",142,28,47,23,32,11,1,0,0
"N00000272",133,43,53,14,14,6,3,0,0
"N00000273",163,26,54,32,30,16,5,0,0
"N00000274",176,30,66,32,37,7,4,0,0
"N00000275",126,40,45,12,20,9,0,0,0
"N00000276",126,31,41,22,25,6,1,0,0
"N00000277",117,20,42,21,28,5,1,0,0
"N00000278",121,32,38,22,19,7,2,1,0
"N00000279",83,23,34,18,5,2,1,0,0
"N00000280",154,42,45,28,23,12,4,0,0
"N00000281",117,17,40,24,24,9,3,0,0
"N00000282",132,22,45,29,22,7,7,0,0
"N00000283",142,33,56,21,23,8,1,0,0
"N00000284",157,47,47,25,26,10,2,0,0
"N00000285",124,28,40,26,17,10,3,0,0
"N00000286",126,47,44,13,14,7,1,0,0
"N00000287",137,52,45,18,14,5,1,2,0
"N00000288",138,29,54,24,15,13,2,1,0
"N00000289",197,41,78,36,26,12,3,0,1
"N00000290",128,47,42,21,13,5,0,0,0
"N00000291",204,46,74,40,24,18,2,0,0
"N00000292",262,41,89,44,65,18,5,0,0
"N00000293",162,16,37,30,56,21,1,1,0
"N00000294",140,23,44,33,24,12,3,0,1
"N00000295",144,30,53,25,25,10,1,0,0
"N00000296",114,25,38,24,21,6,0,0,0
"N00000297",128,25,48,25,25,3,1,1,0
"N00000298",119,17,42,24,22,10,4,0,0
"N00000299",147,47,52,28,14,4,1,1,0
"N00000300",133,47,46,21,12,5,2,0,0
"N00000301",124,20,35,16,41,8,4,0,0
"N00000302",127,13,46,30,26,9,2,1,0
"N00000303",110,13,31,28,31,7,0,0,0
"N00000304",117,15,34,29,28,7,3,1,0
