"Geography_Code","NM_1508_1_0","NM_1508_1_1","NM_1508_1_2","NM_1508_1_3","NM_1508_1_4","NM_1508_1_5","NM_1508_1_6"
"N00000416",133,7,38,55,22,11,263
"N00000417",187,11,77,79,13,7,302
"N00000418",313,30,119,117,33,14,509
"N00000419",139,10,44,59,16,10,250
"N00000420",138,16,57,45,13,7,216
"N00000421",185,9,68,83,22,3,313
"N00000422",170,28,90,39,11,2,209
"N00000423",152,6,43,76,17,10,291
"N00000424",180,17,74,60,19,10,298
"N00000425",121,7,40,56,13,5,212
"N00000426",123,17,61,35,8,2,166
"N00000427",133,21,56,40,14,2,186
"N00000428",146,15,58,57,11,5,225
"N00000429",152,12,52,61,16,11,272
"N00000430",154,2,50,67,18,17,314
"N00000431",137,19,63,46,4,5,187
"N00000432",118,35,40,36,6,1,135
"N00000433",141,53,65,17,4,2,120
"N00000434",179,39,80,48,9,3,231
"N00000435",173,48,70,42,9,4,198
"N00000436",174,9,70,65,21,9,304
"N00000437",195,8,58,90,23,16,380
"N00000438",153,9,34,63,33,14,320
"N00000439",134,11,38,55,14,16,258
"N00000440",127,5,45,59,11,7,226
"N00000441",121,12,56,39,8,6,185
"N00000442",167,30,71,54,10,2,218
"N00000443",164,1,62,74,20,7,305
"N00000444",257,78,119,46,10,4,271
"N00000445",141,2,53,63,19,4,256
"N00000446",130,11,52,50,14,3,207
"N00000447",117,12,49,41,10,5,182
"N00000448",128,70,44,11,1,2,81
"N00000449",146,12,37,58,27,12,285
"N00000450",178,20,58,76,15,9,299
"N00000451",189,18,85,65,16,5,283
"N00000452",157,18,47,65,20,7,267
"N00000453",149,37,71,30,6,5,171
"N00000454",162,5,51,57,28,21,337
"N00000455",111,22,47,36,5,1,138
"N00000456",118,3,43,53,15,4,212
"N00000457",126,6,58,44,11,7,207
"N00000458",129,8,38,60,13,10,240
"N00000459",247,26,96,97,20,8,384
"N00000460",138,20,66,44,6,2,180
"N00000461",157,14,58,61,21,3,255
"N00000462",101,25,49,23,3,1,108
"N00000463",343,81,162,81,14,5,388
"N00000464",156,13,62,66,9,6,245
"N00000465",129,31,62,32,4,0,138
"N00000466",138,6,42,56,19,15,272
"N00000467",131,26,60,30,10,5,170
"N00000468",116,9,42,46,14,5,197
"N00000469",154,13,64,61,11,5,240
"N00000470",122,27,62,29,4,0,132
"N00000471",126,24,70,28,4,0,138
"N00000472",133,54,61,15,3,0,100
"N00000473",108,39,45,20,2,2,99
"N00000474",118,24,59,30,4,1,135
"N00000475",116,50,49,14,3,0,86
"N00000476",119,31,64,17,5,2,123
"N00000477",283,17,103,123,32,8,479
"N00000478",129,56,56,14,3,0,93
"N00000479",117,4,49,50,12,2,193
"N00000480",132,11,59,46,14,2,201
"N00000481",175,28,67,56,20,4,256
"N00000482",121,44,60,13,3,1,102
"N00000483",115,7,50,43,11,4,188
"N00000484",139,27,68,38,5,1,163
"N00000485",108,20,51,27,7,3,138
"N00000486",116,8,31,58,14,5,209
"N00000487",113,6,41,47,10,9,208
"N00000488",134,7,40,63,19,5,244
"N00000489",107,7,44,47,7,2,167
"N00000490",194,12,77,85,13,7,321
"N00000491",166,5,64,77,15,5,287
"N00000492",177,25,76,53,14,9,266
"N00000493",140,9,63,49,16,3,221
"N00000494",347,32,171,113,27,4,496
"N00000495",136,7,64,55,8,2,210
"N00000496",310,19,130,140,19,2,475
"N00000497",328,33,143,130,15,7,478
"N00000498",128,10,57,44,14,3,200
"N00000499",129,24,72,27,5,1,145
