"Geography_Code","NM_1538_1_0","NM_1538_1_1","NM_1538_1_10","NM_1538_1_11","NM_1538_1_12","NM_1538_1_13","NM_1538_1_14","NM_1538_1_15","NM_1538_1_16","NM_1538_1_17","NM_1538_1_18","NM_1538_1_19","NM_1538_1_2","NM_1538_1_20","NM_1538_1_21","NM_1538_1_22","NM_1538_1_23","NM_1538_1_24","NM_1538_1_25","NM_1538_1_26","NM_1538_1_3","NM_1538_1_4","NM_1538_1_5","NM_1538_1_6","NM_1538_1_7","NM_1538_1_8","NM_1538_1_9"
"N00000100",164,71,11,0,10,5,2,3,0,27,12,5,23,10,9,1,2,0,0,6,48,84,7,40,12,8,9
"N00000101",122,44,3,0,11,1,5,4,1,39,22,11,6,6,9,4,3,0,0,2,38,69,1,18,3,7,5
"N00000102",125,36,11,0,7,5,0,2,0,18,5,7,9,6,8,5,1,0,1,1,27,81,6,50,14,11,14
"N00000103",205,51,9,0,19,9,4,4,2,41,9,26,9,6,19,6,2,0,0,11,42,135,3,72,26,11,26
"N00000104",130,41,5,0,15,8,4,3,0,19,6,7,4,6,9,2,1,0,0,6,37,80,1,45,10,12,18
"N00000105",148,61,9,0,6,3,3,0,0,19,1,8,21,10,13,4,1,0,0,8,40,74,9,40,14,9,8
"N00000106",103,55,0,0,5,4,1,0,0,17,2,12,11,3,5,2,0,0,0,3,44,43,5,16,9,0,7
"N00000107",120,41,5,0,10,3,3,4,0,28,13,9,9,6,5,0,1,0,0,4,32,74,7,29,9,7,8
"N00000108",110,37,8,0,5,2,1,1,1,8,1,1,19,6,4,0,1,0,1,2,18,69,16,40,15,4,13
"N00000109",229,77,13,0,22,10,9,3,0,32,13,6,15,13,15,1,3,0,0,11,62,137,14,69,16,20,20
"N00000110",122,47,6,0,14,8,1,3,2,17,8,3,16,6,7,1,0,0,0,6,31,68,7,30,9,6,9
"N00000111",136,32,18,0,7,1,3,2,1,9,5,2,16,2,4,1,0,0,0,3,16,100,15,69,20,8,23
"N00000112",143,31,11,0,12,3,6,3,0,26,10,9,4,7,11,1,6,0,0,4,27,101,4,59,18,8,22
"N00000113",122,31,12,0,8,0,4,2,2,19,6,5,9,8,11,4,4,0,0,3,22,80,4,49,19,6,12
"N00000114",121,20,19,0,12,6,2,3,1,18,3,7,9,8,4,0,0,0,0,4,11,97,10,57,18,6,14
"N00000115",128,38,7,0,9,5,1,3,0,31,12,8,14,11,8,2,2,1,0,3,24,82,7,35,12,7,9
"N00000116",119,39,13,0,8,5,1,2,0,30,12,11,9,7,6,4,1,0,0,1,30,74,3,33,8,5,7
"N00000117",86,46,3,0,6,1,0,4,1,22,11,5,10,6,3,2,0,0,0,1,36,37,1,8,1,2,2
"N00000118",143,47,11,0,7,5,1,1,0,11,5,2,17,4,9,1,0,1,0,7,30,87,18,51,22,5,13
"N00000119",125,29,11,0,3,1,1,1,0,7,1,3,20,3,5,2,1,0,0,2,9,91,24,57,30,3,13
"N00000120",127,29,15,0,3,1,0,2,0,10,1,5,21,4,7,1,1,0,1,4,8,91,20,58,22,8,13
"N00000121",124,31,11,0,11,6,3,2,0,18,7,4,11,7,11,4,0,0,1,6,20,82,18,35,11,1,12
"N00000122",199,53,13,0,13,7,2,3,1,10,5,3,17,2,11,5,0,0,0,6,36,135,21,91,39,5,34
"N00000123",143,33,10,1,1,1,0,0,0,10,2,3,16,5,4,1,1,0,0,2,17,106,27,67,22,9,26
"N00000124",143,35,15,0,14,12,1,1,0,4,1,0,19,3,7,1,1,1,1,3,16,101,17,66,27,10,14
"N00000125",148,29,12,0,2,1,1,0,0,23,4,7,12,12,15,5,3,0,3,4,17,104,6,73,12,16,33
"N00000126",134,20,20,0,1,0,0,1,0,17,3,7,12,7,11,3,4,0,1,3,8,103,8,77,5,16,36
"N00000127",130,29,11,0,4,2,0,2,0,15,2,6,17,7,16,5,4,0,1,6,12,85,6,60,8,12,29
"N00000128",282,40,46,1,7,4,1,2,0,30,8,4,16,18,16,6,2,0,1,7,24,226,16,172,19,36,71
"N00000129",138,39,7,0,3,2,0,1,0,43,13,16,9,14,5,0,3,0,0,2,30,94,4,44,15,12,10
"N00000130",152,11,13,0,8,4,2,0,2,15,9,5,1,1,9,3,1,0,0,5,10,132,6,103,14,30,46
"N00000131",136,22,20,0,3,1,0,1,1,10,0,5,6,5,11,2,1,0,1,7,16,103,12,78,24,12,22
"N00000132",121,24,19,1,5,2,1,0,2,8,2,3,19,3,12,3,2,0,2,5,5,85,9,62,12,8,23
"N00000133",139,48,9,0,6,2,1,2,1,14,3,2,25,9,11,2,1,0,0,8,23,80,14,46,20,5,12
